gene	SRR1542417	SRR1542416	SRR1542415	SRR1542414	SRR1542413	SRR1542412	SRR1542411	SRR1542410	SRR1542409	SRR1542408	SRR1542407	SRR1542406	SRR1542405	SRR1542404
TraesCS7A02G409900	1.52952	1.25714	0.637046	0.659966	2.1512	2.36841	1.15521	0.840717	1.59833	1.47421	1.60887	1.22129	1.527	2.294
TraesCS7A02G477400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7A02G477500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7A02G490000	0.030712	0.0	0.0155377	0.0	0.0	0.0361747	0.0	0.0	0.0	0.0	0.0112996	0.0130589	0.0	0.0
TraesCS7A02G526900	0.0	0.0	0.0	0.0	0.0	0.0	0.0265909	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7B02G073900	44.6495	34.7278	17.936	19.8613	24.6791	22.9709	16.6806	9.45613	76.421	70.4889	22.9597	18.3967	12.8807	15.4681
TraesCS7B02G201300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7B02G309300	1.176773	1.04077	1.137689	0.938908	2.107488	2.001646	1.7833069999999998	1.286261	5.1551	5.42951	2.9569900000000002	2.553533	2.763637	3.719455
TraesCS7B02G379000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7B02G379300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7B02G379400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7B02G393200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7D02G022700	0.0626236	0.0	0.158096	0.0590735	0.0675676	0.0	0.0815776	0.233251	0.252542	0.159968	0.416186	0.311167	0.448699	0.667515
TraesCS7D02G022800	0.0933801	0.0581087	0.0753975	0.0390112	0.128748	0.0409295	0.18167	0.0415403	0.084902	0.129755	1.29291	1.01267	0.766195	0.911136
TraesCS7D02G082900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7D02G170200	24.5707	18.885	14.8289	16.964	9.71869	10.1201	9.36277	5.89114	73.3741	68.5939	13.28	11.5199	7.74264	9.19773
TraesCS7D02G296100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0264696	0.0	0.0	0.0
TraesCS7D02G403100	8.586434	8.68152	2.912756	3.522065	11.32284	11.58047	3.7806859999999998	2.4361900003689176	7.7526	7.08478	7.16836	5.41578	4.65876	6.08669
TraesCS7D02G464900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS7D02G472200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0152247	0.0353344	0.0	0.0137147
TraesCS7D02G476400	0.0	0.0334801	0.0	0.0	0.0	0.0252699	0.0	0.0	0.0	0.0	0.0236741	0.0273754	0.0	0.0107457
