DRR003148,DRR003149,DRR003150,DRR003151,DRR003152,DRR003153,DRR003154,DRR003155,DRR003156,DRR003157,DRR003158,DRR003159
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,8.05362052593226,4.90905326345719,7.16044311113084,5.81157903572301,4.54763709957956,8.78669400059997,2.24706550414951,0.997354333624014,2.09305221152205,0.96197562687101,1.12269886127512,2.98240362707913
TraesCS1A02G164700,1.98132651176871,1.5815248915777,2.6225171459649,1.38261198312205,1.35239009702009,0.67938355674742,7.29717148254738,9.76790326745169,9.44031280969997,8.1817514656555,4.55734718172248,5.7649554647148
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G310300,0.669646939517649,0,0.344693988019777,0,0.639911411760726,0,0,0,0,0,0,0
TraesCS2A02G219600,66.6550306271325,74.0437043892115,60.0425047917687,107.077503909636,109.57095835192,85.232201559288,1.94832269145911,2.52221110381796,1.89040120260301,3.82288002007988,2.12939632286648,2.6936448943995
TraesCS2A02G219700,2.82008322291365,4.50206645584848,4.56220069249947,5.41176443870589,1.92489859737269,1.45048140141966,4.45126695612889,7.31734654162887,4.22295934092857,1.76444539044573,1.85331800283861,2.18811711451146
TraesCS2A02G231600,0,0,0.314929326101635,0,0,0.367132061306405,6.00886597209897,4.72284781938948,6.99627480174502,4.01939676965603,2.34547115865277,2.07688274866234
TraesCS2A02G300300,0,0,0,0,0,0,0.52419879568029,0,0.406891954028392,0,0,0
TraesCS2A02G505300,0,0,0,0,0,0,0.410298022668809,0,0,0.585499468576391,0,0.907609137881657
TraesCS2A02G516300,9.36575062597647,9.30332267237622,9.28474519846071,7.20128603969759,9.28134302844364,11.2400855029785,8.09113921266722,8.82056896445749,7.27213339442279,10.0269095662487,8.24470894650874,5.1810549428096
TraesCS2A02G575700,0,0.351853014869351,0,0.384499318700799,0.601751556930958,0.377868147961581,0,0,0.300036154174606,0.551591529169157,0,0
TraesCS2A02G584400,11.9924858923545,8.52830232731642,8.97892479712669,17.3078131441122,7.98724634401542,13.0840910002316,0,0,0,0,0,0
TraesCS2A02G584600,1.80926026492413,1.51638795205638,4.19084288564408,1.65708437845352,0.864460226760784,1.08567059315486,0,0,0,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,2.55832884722905,6.62379538459972,6.45390862186591,4.10710656633733,1.99721097238222,4.95180867873669
TraesCS3A02G007100,25.3291285437143,18.5207732747175,15.1304171962212,22.912305642854,22.1126563016178,12.7597207867482,0.383895017793197,0.283984719141234,0.297985793212137,0.547822110974379,0.719268917388676,0.424601883126299
TraesCS3A02G019600,5.14791084754193,3.83519786207593,2.4731793640419,3.35283405907097,2.95159138674635,2.88313396894686,52.6655977535042,47.3743308471407,59.8482116732086,72.7494067821202,62.3624133098917,56.3860685744647
TraesCS3A02G196000,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G298500,0,0,0.430539330047551,1.02142697915338,0.799280057340131,0.50190559790175,2.05367753616102,0.75959964480123,1.19557437824946,1.09898205659293,0.641297902480079,0
TraesCS3A02G331900,12.1328761244039,5.68582434292083,8.86426164487068,7.64723377692594,12.7161298359865,7.98505691430147,0,0.355436327022101,0,2.05696855353744,0.90023964286138,0.531433290641327
TraesCS3A02G335900,0,0.40054285765806,0.368993564198717,0,0.685022660109394,0,0.880051764027224,0,1.70777758773013,1.25584285492299,0.82443617423924,0.48668466499333
TraesCS3A02G339800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G041500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G271100,0.787443341880218,1.1732918889716,0.540437992688752,0.32053862897428,0,0.315010540174473,11.6005293713263,17.4012586889467,14.2571673107979,15.8643208064292,8.25119263484945,10.3357678280706
TraesCS4A02G284700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G415600,2.62732292059556,4.24094181452309,3.00530643462219,3.20845364504399,2.51065721360668,2.45242655519138,0.358383652974404,1.85578956283044,1.66910064714677,1.27854283209863,1.11911768468414,0.792770767431984
TraesCS5A02G015800,1.0600588617847,1.57948946700682,1.45507886834603,1.29453052473782,0.67532478461235,0.424068243272199,0,0,0,0,0,0
TraesCS5A02G060000,0,0,0,0,0,0,0,0,0,0,0.302234079668465,0
TraesCS5A02G220400,0.818346483464191,0.130643316570609,0.240706042304635,0,0.558577131832867,0.701513785442833,2.00929851339748,2.12338584974242,2.11666979023414,1.74085433859987,2.42012475418579,0.952438884526014
TraesCS5A02G220500,27.0020548960157,20.500457040526,35.4372332728441,28.4437123629894,27.5757620383376,43.7850461178546,2.02438333707163,2.43348467288142,3.92840129790175,3.79157060140601,5.05720207781588,1.67928132155356
TraesCS5A02G483100,5.21815524507174,3.58848922767338,7.85136306045048,1.96072167197132,1.91786314928288,3.85381315815788,0,0,0,0,0,0
TraesCS6A02G008800,2.61481185906891,2.33764441117009,3.49946467837221,2.55454023548264,1.49922102183942,2.19667350014999,0.321009357735644,0.949861270118109,0.747518646972161,0.458083631843338,1.40337357659391,0.355048050842753
TraesCS6A02G009400,2.02623797197222,1.81145876880339,3.75474779569883,1.4846497678543,0,0.972696752833945,0,0.368027429381555,0,0,0,0
TraesCS6A02G039800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G271500,1.5724813585466,1.75724987953078,1.94260529330734,2.30435330520341,0.300531132671132,0.377435309304122,0.386093729235311,0.285611206650634,0,0.275479847328468,0.964517922057668,0.427033738127023
