Geneid,Control,100mM_NaCl,200mM_NaCl,300mM_NaCl
TraesCS1A02G019700,0,0,0,0
TraesCS1A02G095600,1.79274559988908,2.80314607420522,8.87346689790339,1.32573608469735
TraesCS1A02G164700,0.909360385804971,1.25326049714973,2.12522945719649,1.41794528115422
TraesCS1A02G256700,0.0914706526078277,0,0,0
TraesCS1A02G310300,0,0,0.48507979207822,3.36398929000993
TraesCS2A02G219600,5.07990982151721,2.61129357441046,5.435957390281,14.5128125281889
TraesCS2A02G219700,0.793153904281709,1.34148684421374,3.48784158625037,1.5475290481536
TraesCS2A02G231600,0.118540468051186,0.0802197228079288,0.750866749907811,0.191422911513966
TraesCS2A02G300300,0,0,0.0648267205585808,0
TraesCS2A02G505300,0,0,0,0.0188623439794768
TraesCS2A02G516300,4.63422036365115,4.40970370202062,6.02124359753267,6.84698561352624
TraesCS2A02G575700,0.0433526842236292,0.155919569106558,0.253418542628911,0.472228267683524
TraesCS2A02G584400,1.58600465724172,0.940923839384377,4.62079958252468,0.711713828275645
TraesCS2A02G584600,0.111291700362571,0.477849995851382,0.793224915736485,0
TraesCS2A02G707500_M,0,0,0,0
TraesCS3A02G007100,3.74408825701321,18.9756965730252,32.533830559458,12.06094899474
TraesCS3A02G019600,0.824069520391684,3.90022814912906,5.2355520384653,0.538037445878404
TraesCS3A02G196000,0,0,0,0
TraesCS3A02G298500,0.351904416047955,0.727106161157542,0.791155187311746,0.411363506949699
TraesCS3A02G331900,0.0713621740361914,2.99594592562553,11.0944902142508,33.8788226632551
TraesCS3A02G335900,0,0.212715319111895,0.198341948694923,0.130212194563384
TraesCS3A02G339800,0.0224828963553392,0,0,0
TraesCS4A02G041500,0,0,0,0
TraesCS4A02G271100,0.113429344664744,0.256551680705765,0.444950606210466,0.605101775939182
TraesCS4A02G284700,0,0,0,0
TraesCS4A02G415600,0.181263011672331,0.477624086291078,0.464507619299862,0.139807258807519
TraesCS5A02G015800,0.442226670641628,0.593833614678262,2.57102401016487,0.219969929889515
TraesCS5A02G060000,0.0366784152184078,0,0,0
TraesCS5A02G220400,0.17589212694606,0.764693805156797,1.11687792257498,0.0427258144699934
TraesCS5A02G220500,173.409847076033,65.2970218380311,43.5555890695748,123.038377788005
TraesCS5A02G483100,0.365811130139257,1.03694923195203,2.47302075833617,1.15386418879683
TraesCS6A02G008800,1.00847667870272,0.614407900399563,0.682604398740938,0.674004531051763
TraesCS6A02G009400,0.11834679607837,0.194019602293835,0.36651673896709,0.039976361239987
TraesCS6A02G039800,0,0,0,0
TraesCS6A02G271500,1.33295378223798,1.57695114341602,0.50227851642684,1.21373601146682
TraesCS6A02G329600,5.6774898426147,1.49524810676115,0.801868837829833,0.302721008973746
TraesCS6A02G329700,0,0,0.0192195835186053,0
TraesCS6A02G329800,7.47908711210162,6.80656290196835,4.20677226925449,1.12257236256117
TraesCS6A02G329900,3.20300623151962,3.83019791341011,2.88448306844575,4.82913988002678
TraesCS6A02G330000,20.6471648511577,12.0602878664062,11.2891748437814,6.57622042885503
TraesCS6A02G330100,77.6695727359186,39.5546305065498,33.6713364169585,22.8764341350794
TraesCS7A02G109400,0,0,0,0
TraesCS7A02G109600,0,0,0,0
TraesCS7A02G169100,40.2155642495703,69.6105103076214,53.7516635928617,56.6942321042001
TraesCS7A02G209000,0.31642331388739,0.47004069671588,0.500547555067448,0.501791931129158
TraesCS7A02G300400,0,0,0,0
TraesCS7A02G409900,66.5261492275403,48.4299480697729,20.0295543009019,30.6731645753911
TraesCS7A02G477400,0,0,0,0
TraesCS7A02G477500,0.92084420429193,1.09366359092816,0.947283264632267,1.5386471522162
TraesCS7A02G490000,0,0,0,0
TraesCS7A02G526900,0.0219587773888563,0.0185097276294151,0,0
TraesCS1B02G023900,0.0410777730402063,0,0,0
TraesCS1B02G128000,1.07024626823814,1.83917581313431,5.99205367703558,1.28079966611935
TraesCS1B02G181600,0.437453062431059,0.408280329778998,0.760176334194908,0.844073437273359
TraesCS1B02G267300,2.25224970391192,0.197535854904142,0.0934791735064725,0
TraesCS1B02G321500,0.0332118165005923,0,0.0997799778524698,1.84653192626145
