Geneid,ERR392055,ERR392056,ERR392057,ERR392058,ERR392059,ERR392060,ERR392061,ERR392062,ERR392063,ERR392064,ERR392065,ERR392066,ERR392067,ERR392068,ERR392069,ERR392070,ERR392071,ERR392072,ERR392073,ERR392074,ERR392075,ERR392076,ERR392077,ERR392078,ERR392079,ERR392080,ERR392081,ERR392082,ERR392083,ERR392084
TraesCS7B02G379400,0,0,0.059707057004505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G611500_M,0.360893037035327,0,0,0,0,0,0,0,0,0.502094950228174,0,0,0,0,0,0.363249839264255,0,0.205504408074377,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G548100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G555400,0.458900967172555,0.331526273226084,0.388630029090953,0.263281203107871,0.747035216969005,0.707803415754117,0.186392040354116,0,0.573377448937207,0.478836874004881,0.534675233093755,0.398658714120871,0.69906209914626,0.420178238348858,0.443233176636047,0.30793187169439,0.850202873826683,0.566178943756404,0.354955861888284,0.358543444058704,0,0.66265270036446,0.15937878559878,0.604945056276899,0.194200494621305,0.291434363188668,0.291346877004712,0.448754590597284,0.699217427519844,0.54521338776117
TraesCS2D02G667500_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G740900_M,0.0647881403637014,0.028083145071189,0.0164601637447583,0.696943652972693,0.130924860617906,4.37187013526974,0,7.34436798463366,2.83325193346231,0.360547805283418,3.84978773845124,6.55134972067074,0.197388703194436,0.0762701440682802,4.89800549713375,0.0978168563461677,0.19641693508749,0.0368925057270606,9.19574591058145,0.202478222029334,0.302965255861459,2.40567513075584,0.303767161672987,0.138786057419538,3.86585878523262,0,0,0.211185546078397,8.39793505021323,0.167942884989662
TraesCS3D02G488300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4D02G164600,1.86980304971888,3.84981360051237,3.32531308002247,3.41937662177309,2.75517555510524,3.42470496373132,4.27195608891799,7.06534744313563,8.17684081696195,5.04016698822608,6.80795975714253,6.33494369777977,9.96920879341427,3.85205930539749,6.27983026634514,3.29352405903994,8.03058077332593,5.19054693881175,10.8470715996238,3.65223475823265,8.0150200819598,5.4964171648873,3.89635621658257,3.5432408647567,6.52801541154118,1.58327511471743,1.87957479649928,1.90464728525747,7.93643943508464,2.27197338487685
TraesCS4D02G346500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5D02G032500,1.87435799015668,2.43738439122124,1.78575735048188,1.20977873169847,2.36733198035665,0.542060167667967,0.85647256057966,1.41651180163231,0.878224289937318,2.44473150248128,0.818945317436536,1.22122614618026,2.37940340959919,2.57429541887303,1.72807442690236,3.06572245586117,0.473537864616124,1.60098196594849,1.63102434710542,1.46445271913543,3.28685935926676,4.34984741974061,1.70880847775062,2.1620092805024,1.78470491098385,1.78552356496833,3.17331122768158,2.0620300767701,1.52995635132452,2.80892657502578
