Geneid,Control_rep1,Control_rep2,Control_rep3,100mM_NaCl_rep1,100mM_NaCl_rep2,100mM_NaCl_rep3,200mM_NaCl_rep1,200mM_NaCl_rep2,200mM_NaCl_rep3,300mM_NaCl_rep1,300mM_NaCl_rep2,300mM_NaCl_rep3
TraesCS6A02G330100,81.1799193544997,69.5218934412121,82.3069054120439,37.5981687006696,39.5224124576735,41.5433103613064,31.1687141375233,34.7881630163699,35.0571320969822,21.6772937565282,24.1136162839323,22.8383923647776
TraesCS7A02G109400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G109600,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G169100,40.3348804372187,37.5232708411409,42.7885414703514,73.0448253076247,66.1758537855412,69.6108518296983,55.250326779098,55.3912912543783,50.6133727451088,59.9489208448742,54.66279196593,55.4709835017961
TraesCS7A02G209000,0.261995534949418,0.482909924879308,0.204364481833445,0.605492846905595,0.369139491519294,0.435489751722751,0.403179891667102,0.742493432831625,0.355969340703616,0.723654740116438,0.483626132974074,0.298094920296962
TraesCS7A02G300400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G409900,68.3850124564573,60.8942129464481,70.2992222797156,47.6586657625376,49.0714749739161,48.5597034728649,20.1899786288242,20.701644132574,19.1970401413074,30.9475502865884,33.7428531386231,27.329090300962
TraesCS7A02G477400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G477500,0.862664476953685,0.818414448331336,1.08145368759077,1.06804676660914,1.31674185581921,0.89620215035613,0.948241270137877,0.977913931241465,0.915694592517458,1.07223986507692,1.43069037623438,2.1130112153373
TraesCS7A02G490000,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G526900,0,0,0.0658763321665688,0,0.0555291828882453,0,0,0,0,0,0,0
TraesCS1B02G023900,0,0,0.123233319120619,0,0,0,0,0,0,0,0,0
TraesCS1B02G128000,1.25832570331315,0.757955803587685,1.1944572978136,1.5899623109175,2.01368945601835,1.91387567246708,6.09611573208569,6.12838457924389,5.75166071977717,1.18428070156292,1.77434934741451,0.883768949380621
TraesCS1B02G181600,0.30642561108459,0.664474587811871,0.341458988396715,0.421532346543652,0.503695963115458,0.299612679677883,0.631543502181672,0.824987546941856,0.823997953461196,0.84637452312785,1.10476770447447,0.581078084217758
TraesCS1B02G267300,1.89207960263471,2.64530167659702,2.21936783250404,0.109592702148113,0.0935386642017294,0.389476198362583,0.054730919620348,0.169330729800274,0.0563758710987955,0,0,0
TraesCS1B02G321500,0,0,0.0996354495017769,0,0,0,0.147424136679491,0.0506791262239118,0.101236670654007,1.77815826865036,1.44418995240237,2.31724755773161
TraesCS2B02G245100,12.050677230532,11.5891527436548,11.1290336958929,4.81426841574434,5.34949825184672,5.48785514292149,8.39222790777889,7.90631340397228,7.14920074454371,17.3264548842334,16.4740579447021,17.3736477705512
TraesCS2B02G245300,1.08644747088733,0.701169104268594,0.691805759115398,1.39492659735585,1.31207470619091,1.56814515427608,1.53543042106216,1.90603783731684,2.48952118786432,0.828809944561356,0.98484814288431,0.719449474655825
TraesCS2B02G255800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B02G316600,0,0,0,0,0,0,0,0,0.125591495645431,0,0,0
TraesCS2B02G533700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B02G545100,14.7392969696932,16.0645272856091,17.4563293963147,9.42675484736445,10.6553101956009,11.3557292654408,7.5917758247568,6.07976684508319,7.20833245862117,17.9896771673428,18.8299714347531,17.4140504567253
TraesCS2B02G611600,0,0.0451000851456021,0.0463518988773821,0.0915545368058611,0.312571509108494,0.122014213443482,0.0914452129855814,0.235766862664974,0.0941936217340734,0.0919139753623005,0.19195963733855,0.052586251965408
TraesCS2B02G598400,1.94745754222402,1.66697457569529,1.45625714912048,2.53800660218617,2.43097862536958,2.00437750864646,6.22477442150353,7.05861342199142,7.05014643621595,1.84020105376926,1.74422418902952,1.846492030685
TraesCS2B02G598500,2.64160009555681,3.43693752316485,2.29601733577101,2.7326924534554,3.72189135306989,2.78949736251822,6.91068292042473,5.68956928925418,4.30692215239246,2.21808495716264,2.07239183184176,1.40260227224976
TraesCS2B02G855500_M,0.177316809307539,0,0,0.390279496257414,0.416385192965504,0.563466884023504,0.341086785988413,0.251257271363276,0.903441174823735,0,0,0.112082572001014
TraesCS3B02G006900,2.20626439980905,1.87616354205705,2.16926886746148,8.71232972244574,8.41129931010957,9.85549473387482,18.4975376827234,20.890830167018,18.1228528216357,10.3237777126936,11.0300007614731,8.96911113521999
TraesCS3B02G026700,1.23851466501089,0.46304849324869,0.761441646598946,5.12301332663505,3.6905946127723,4.1757864763468,4.31884801491949,8.03655574794634,4.78713646903552,0.377477139234721,0,0.107981990098538
TraesCS3B02G227600,0,0,0,0,0,0.0481305509522703,0,0,0,0,0,0
TraesCS3B02G338000,0.590053693116936,1.10503432546394,0.537966021106422,0.295164881606058,0.755780125962551,0.367140263937887,0.707549831765899,0.54726802607222,0.668080800687184,0.651912105341364,0.680749640218841,0.678136349196509
TraesCS3B02G362000,0.0464868183693437,0.201610494405624,0.103603232889016,0.102318850235627,0.392986556015673,0.0909065020514435,3.52578521571967,3.37262857702493,3.47385124301693,4.62242470279686,5.84591113002318,4.93659257388538
TraesCS3B02G366800,0,0,0,0.123281356491061,0.105222092175137,0.109530911077977,0.246268296357209,0.126987300286877,0.570757391101514,0.433178735370842,0.258480303742998,0.141618421134564
TraesCS3B02G371400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B02G262500,0,0,0,0,0,0,0,0,0,0.130735244119507,0.0682591791662423,0
TraesCS4B02G043000,0.372176855568328,0.322821662094836,0.304133511932297,0.409586085710431,0.536032719567636,0.557983128145044,0.490916406554174,0.731290900336271,0.365206849179478,0.57567174042704,0.314881159493937,0.250937904115631
TraesCS4B02G028400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B02G316400,0.61477238587504,0.611011115229306,0.88486759793506,0.845707529115791,1.15491416531623,1.70312745814805,2.16805738679992,2.64242835252124,2.90028427770536,0.933930508279007,1.15256016316333,1.74869893683087
TraesCS5B02G014100,0.602310783458654,0.195913883384335,0.0671172458765041,1.19313332486066,0.735477432980101,0.942270835350589,2.84685948894998,3.00422207705711,3.06881431005851,1.86327167745099,1.25080333715439,1.14216822450665
